STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
TEXRAIL,Texmaco Rail & Engineering Limited,6317,253584.0,0.13,226.08,NO TREND,INCREASING,68.0,2.32,8.52,3.81,STAY,BUY,BUY,0.06,STAY,False,True,STAY,0.19,1.04,0.0,,0,,0
TFCILTD,Tourism Finance Corporation of India Limited,1545,31227.0,0.11,176.45,INCREASING,INCREASING,70.54,0.67,6.34,4.3,SELL,BUY,BUY,0.32,SELL,False,False,STAY,0.19,0.71,0.0,,0,['ENGULFING'],100
TFL,Transwarranty Finance Limited,51,1192.0,0.07,28.0,DECREASING,INCREASING,62.27,4.03,1.8,2.15,STAY,STRONG BUY,BUY,0.1,STRONG SELL,False,False,STAY,-0.13,3.13,0.0,,0,,0
TGBHOTELS,TGB Banquets And Hotels Limited,42,21620.0,0.2,15.5,NO TREND,INCREASING,63.2,-1.9,0.66,0.59,STAY,BUY,BUY,0.65,STAY,False,False,STAY,0.4,-2.08,0.0,,0,,0
THANGAMAYL,Thangamayil Jewellery Limited,3533,1682.0,0.06,2133.0,NO TREND,INCREASING,58.19,0.29,76.86,4.83,STAY,BUY,BUY,0.65,STAY,False,True,STAY,-0.11,0.14,0.0,,0,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI', 'SPINNINGTOP']",400
THEINVEST,The Investment Trust Of India Limited,697,1611.0,0.05,212.0,NO TREND,INCREASING,52.5,3.93,11.1,3.88,STAY,BUY,BUY,0.12,STAY,False,False,STAY,-0.1,1.78,0.0,,0,,0
THEJO,Thejo Engineering Limited,2632,838.0,0.07,2220.0,NO TREND,INCREASING,55.51,-3.21,102.29,3.26,STAY,SELL,BUY,0.44,STAY,False,False,STAY,-0.24,0.68,0.0,"['3INSIDE', 'ENGULFING']",200,,-100
THEMISMED,Themis Medicare Limited,2011,24771.0,0.14,293.25,INCREASING,INCREASING,59.12,0.13,14.14,5.05,STAY,BUY,BUY,0.55,STAY,False,False,STAY,0.34,-0.42,0.0,['3INSIDE'],100,,0
THERMAX,Thermax Limited,49954,2677.0,0.05,4682.0,DECREASING,INCREASING,40.56,1.35,185.59,6.29,STAY,SELL,SELL,0.21,STAY,False,False,STAY,-0.17,0.13,0.0,,0,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI', 'SPINNINGTOP']",400
THOMASCOOK,Thomas Cook  (India)  Limited,7808,7648.0,0.02,218.6,INCREASING,INCREASING,72.17,0.56,6.83,5.48,SELL,BUY,BUY,0.77,BUY,False,False,STAY,-0.04,-0.38,0.0,,0,,0
