STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
NOIDATOLL,Noida Toll Bridge Company Limited,138,67011.0,0.39,16.4,NO TREND,INCREASING,61.74,-1.31,0.63,2.28,STAY,BUY,BUY,0.07,BUY,False,False,STAY,0.48,-0.55,0.0,,-100,,0
NORBTEAEXP,Norben Tea & Exports Limited,15,1203.0,0.22,16.73,DECREASING,INCREASING,36.25,-1.91,0.49,7.38,BUY,BUY,STRONG SELL,0.31,STAY,False,False,STAY,-0.14,-2.16,0.0,"['DOJI', 'LONGLEGGEDDOJI', 'INVERTEDHAMMER']",300,,-100
NOVAAGRI,Nova Agritech Limited,467,79598.0,0.73,61.2,DECREASING,INCREASING,44.0,-4.23,3.16,-1.16,STAY,BUY,STRONG SELL,0.23,STAY,False,False,STAY,0.15,-2.98,0.0,,-200,,0
NPST,Network People Services Technologies Limited,2207,27100.0,1.32,3359.3,INCREASING,INCREASING,65.82,2.97,148.05,1.34,STAY,BUY,BUY,1.0,SELL,False,False,STAY,-0.03,2.42,0.0,,0,,0
NRAIL,N R Agarwal Industries Limited,735,7313.0,0.6,343.0,DECREASING,INCREASING,43.02,-3.44,15.14,1.88,STAY,BUY,STRONG SELL,0.4,STAY,False,False,STAY,-0.22,-2.83,0.0,,-100,,-100
NRBBEARING,NRB Bearing Limited,2598,258672.0,0.35,292.1,DECREASING,INCREASING,59.67,2.26,11.34,0.64,STAY,BUY,BUY,0.76,STAY,False,False,STAY,0.18,1.42,0.0,,0,,0
NRL,Nupur Recyclers Limited,622,85247.0,0.89,110.15,NO TREND,INCREASING,43.83,-0.2,8.16,2.99,STAY,SELL,SELL,0.18,STAY,False,False,STAY,0.5,2.84,0.0,,0,,0
NSIL,Nalwa Sons Investments Limited,1717,7970.0,0.82,7389.1,INCREASING,INCREASING,68.22,3.24,432.63,1.44,STAY,STRONG BUY,BUY,0.54,STRONG BUY,False,True,STAY,0.43,0.0,4.76,,0,"['DOJI', 'LONGLEGGEDDOJI']",200
NSLNISP,NMDC Steel Limited,16030,1659897.0,0.48,47.15,DECREASING,INCREASING,41.25,-2.56,1.73,1.86,STAY,BUY,STRONG SELL,0.38,STAY,False,False,STAY,0.25,-1.44,0.0,,-100,,0
NTL,Neueon Towers Limited,22,206898.0,3.61,3.41,NO TREND,DECREASING,75.11,7.25,0.08,-7.13,SELL,BUY,BUY,0.01,SELL,False,True,STAY,-0.11,0.0,4.69,,0,['DOJI'],0
